slug,title,template_id,interaction,asset_ref,mood
love-tarot-oracle2,Love Tarot Oracle2,template_LoveTarotOracle2,randomized-choice,none,M-FROST
love-tarot,Love Tarot,template_LoveTarot,randomized-choice,none,M-AMBER
love-tetris-block-puzzle,Love Tetris Block Puzzle,template_page-local,visual-collection,none,M-GOLD
love-tetris,Love Tetris,template_page-local,spatial-exploration,none,M-NIGHT
love-thermometer,Love Thermometer,template_LoveThermometer,guided-interaction,none,M-BLUSH
love-time-machine,Love Time Machine,template_LoveTimeMachine,time-reveal,none,M-MONO
love-tree-growth,Love Tree Growth,template_page-local,grow-or-assemble,none,M-SEPIA
love-trivia-quiz,Love Trivia Quiz,template_LoveTriviaQuiz,game-or-puzzle,none,M-ELECT
love-vault-combination,Love Vault Combination,template_LoveVaultCombination,guided-interaction,none,M-WINE
love-vibe,Love Vibe,template_LoveVibe,guided-interaction,none,M-PAPER
love-wheel-fortune,Love Wheel Fortune,template_page-local,randomized-choice,none,M-DAWN
love-wish-bottle-ocean,Love Wish Bottle Ocean,template_LoveWishBottleOcean,guided-interaction,none,M-GREY
love-wish-well,Love Wish Well,template_page-local,spatial-exploration,none,M-FOREST
love-wishes-sky,Love Wishes Sky,template_LoveWishesSky,spatial-exploration,none,M-DUSK
love-wizard-tower,Love Wizard Tower,template_LoveWizardTower,guided-interaction,none,M-FIELD
love-wordle,Love Wordle,template_page-local,game-or-puzzle,none,M-FROST
magic8-ball-love,Magic8 Ball Love,template_Magic8BallLove,guided-interaction,none,M-AMBER
magnetic-poetry,Magnetic Poetry,template_MagneticPoetry,guided-interaction,none,M-GOLD
memory-constellation-map,Memory Constellation Map,template_MemoryConstellationMap,spatial-exploration,none,M-NIGHT
memory-lane,Memory Lane,template_page-local,message-sequence,none,M-BLUSH
memory-match,Memory Match,template_MemoryMatchGame,guided-interaction,none,M-MONO
memory-replay,Memory Replay,template_page-local,message-sequence,none,M-SEPIA
mood-ring,Mood Ring,template_page-local,spatial-exploration,none,M-ELECT
movie-ticket-creator,Movie Ticket Creator,template_MovieTicketCreator,visual-collection,none,M-WINE
music-box,Music Box,template_LoveMusicBox,audio,none,M-PAPER
mystery-gifts,Mystery Gifts,template_MysteryGiftBoxes,guided-interaction,none,M-DAWN
nepalgunj-to-osaka-flight-sim,Nepalgunj To Osaka Flight Sim,template_page-local,audio,none,M-GREY
